title,date,bids,price
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX (white back) *GMCARDS*,2020-10-18,20,103.5
1956 Topps Set Break #200 Bob Feller VG-VGEX *GMCARDS*,2020-01-04,26,56
1956 Topps Set Break #200 Bob Feller VG-VGEX (wrinkle) *GMCARDS*,2020-12-25,19,51
1956 Topps Set Break #200 Bob Feller LOW GRADE (crease) *GMCARDS*,2020-12-25,12,62.75
1956 Topps Set Break #200 Bob Feller EX-EXMINT *GMCARDS*,2020-12-20,16,108.86
1956 Topps Set Break #200 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-12-18,16,32.75
1956 Topps Set Break #200 - Bob Feller LOW GRADE *GMCARDS*,2020-12-18,14,21.49
1956 Topps Set Break #200 Bob Feller NM-MT OR BETTER *GMCARDS*,2020-12-16,25,301
1956 Topps Set Break #200 - Bob Feller VG-VGEX (crease) *GMCARDS*,2020-12-11,12,39.01
1956 Topps Set Break #200 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-11-27,6,17.5
1956 Topps Set Break #200 - Bob Feller EX-EXMINT *GMCARDS*,2020-11-19,13,81
1956 Topps Set Break #200 - Bob Feller VG-VGEX *GMCARDS*,2020-11-15,15,62
1956 Topps Set Break #200 - Bob Feller VG-VGEX *GMCARDS*,2020-10-07,14,48
1957 Topps Set Break # 1 Ted Williams VG-VGEX *GMCARDS*,2020-01-04,30,222.33
1957 Topps Set Break # 1 Ted Williams LOW GRADE (filler) *GMCARDS*,2020-01-02,16,91
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-01-02,25,64.26
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-12-04,18,73
